1273973554460217344,"RT @PatriotM1A777: Google threatened to ban the Federalist, a right-leaning news website for telling the truth about #CCPVirus 

China Trie…",CCPVirus,en,Fri Jun 19 13:38:59 +0000 2020,27379401,Mike the Italian Lion 🇮🇹 🇮🇹,,,,Iowa
1273973690787487745,"RT @Ph3minist: @globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #Hind…",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus,en,Fri Jun 19 13:39:31 +0000 2020,1174185787744763905,Ajatshatru Dwivedi,,,,"Bilaspur, India"
1273975273667457024,"@smh #pandemic #ChinaLiedPeopleDie 

Alarming: China shows second wave of #coronavirus. Can we trust info from CCP? What will happen when Aus opens border to Chinese visitors in July? 

Please read: Beijing’s New Outbreak Raises Fears for Rest of the World

https://t.co/k7QtOPLGmf https://t.co/DSXjiWdyT5",pandemic ChinaLiedPeopleDie coronavirus,en,Fri Jun 19 13:45:49 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1273976496172883968,"Retweet if you agree and Support us by Following our Campaign 👉🏻@saahayata

#LalbazaarOnZEE5 #WeStandBySalmanKhan #CBIEnquiryForSushant #JunkOneChina #தமிழர்நலனில்ரஜினியின்RMM #JagaSabuDekhuchi #Corona #coronavirus #saahayata #GovernmentOfIndia #BoycottChina #BoycottChineseApp https://t.co/uDBrTfA1Qe",LalbazaarOnZEE5 WeStandBySalmanKhan CBIEnquiryForSushant JunkOneChina தமிழர்நலனில்ரஜினியின்RMM JagaSabuDekhuchi Corona coronavirus saahayata GovernmentOfIndia BoycottChina BoycottChineseApp,en,Fri Jun 19 13:50:40 +0000 2020,1263509967379693568,SAAHAYATA - DIGITAL NGO,,,,India
1273976635587354625,"Time to change one China policy !
#JunkOneChina
#China 
#ChineseVirus 
#BoycottChineseProducts 
#FreeTibet 
#ChinaLiedPeopleDied 
#CKMKB 
#Chinese 
#BoycottChina
#ChineseProductsInDustbin",JunkOneChina China ChineseVirus BoycottChineseProducts FreeTibet ChinaLiedPeopleDied CKMKB Chinese BoycottChina ChineseProductsInDustbin,en,Fri Jun 19 13:51:13 +0000 2020,759027321684635652,Aditya Singh ‘रघुवंशी’,,,,भारत
1273977699992657920,@RakeshSinha01 @ndtvindia Sir ask Pradhan Sevak Jee @PMOIndia to show his daring And Impose Heavy Anti Dumping Duty on All Chinese Product or It's Just for Publicity of #IndiaChinaFaceOff #BoycottChina for hiding Govt failure in Damaging Indian Economy and Covid-19 Situation @RssSeva @RSSorg @BJPLive,IndiaChinaFaceOff BoycottChina,en,Fri Jun 19 13:55:27 +0000 2020,111023313,AJAY SINGH,,,,"Ghazipur, Uttar Pradesh, India"
1273977806150565888,@RakeshSinha01 @narendramodi @RahulGandhi Sir ask Pradhan Sevak Jee @PMOIndia to show his daring And Impose Heavy Anti Dumping Duty on All Chinese Product or It's Just for Publicity of #IndiaChinaFaceOff #BoycottChina for hiding Govt failure in Damaging Indian Economy and Covid-19 Situation @RssSeva @RSSorg @BJPLive,IndiaChinaFaceOff BoycottChina,en,Fri Jun 19 13:55:53 +0000 2020,111023313,AJAY SINGH,,,,"Ghazipur, Uttar Pradesh, India"
1273977998203432960,@sardanarohit @aajtak Sir ask Pradhan Sevak Jee @PMOIndia to show his daring And Impose Heavy Anti Dumping Duty on All Chinese Product or It's Just for Publicity of #IndiaChinaFaceOff #BoycottChina for hiding Govt failure in Damaging Indian Economy and Covid-19 Situation @RssSeva @RSSorg @BJPLive,IndiaChinaFaceOff BoycottChina,en,Fri Jun 19 13:56:38 +0000 2020,111023313,AJAY SINGH,,,,"Ghazipur, Uttar Pradesh, India"
1273978023994261504,@RakeshSinha01 Sir ask Pradhan Sevak Jee @PMOIndia to show his daring And Impose Heavy Anti Dumping Duty on All Chinese Product or It's Just for Publicity of #IndiaChinaFaceOff #BoycottChina for hiding Govt failure in Damaging Indian Economy and Covid-19 Situation @RssSeva @RSSorg @BJPLive,IndiaChinaFaceOff BoycottChina,en,Fri Jun 19 13:56:44 +0000 2020,111023313,AJAY SINGH,,,,"Ghazipur, Uttar Pradesh, India"
1273978364689149953,"@MinhazMerchant @adgpi Who is lying? Maybe the country that lies about their GDP? Their Corona Virus, sorry Wuhan Virus, their actions in South China Sea, their actions and deniability in Hong Kong! 
#ChinaLiedPeopleDied",ChinaLiedPeopleDied,en,Fri Jun 19 13:58:06 +0000 2020,3397383903,SayNoToMadeInChina🙏❤️🇮🇳,,,,From my heart to your minds
1273978820022775811,"#JunkOneChina
#HindiChiniByeBye 
Go corona go..
#Chinesevirus #ChinaVirus https://t.co/NDdX0JTtCf",JunkOneChina HindiChiniByeBye Chinesevirus ChinaVirus,es,Fri Jun 19 13:59:54 +0000 2020,534731930,Rishu Singh,,,,India
1274069429664518150,RT @PatriotM1A777: More Proof the #CCPVirus was purposely taken and released by a Communist Chinese Agent!!!,CCPVirus,en,Fri Jun 19 19:59:57 +0000 2020,997538850472898562,MAGA PATRIOT,,,,"Texas, USA"
1274069938823708674,"This Indian guru's tips to ward off #coronavirus are angering health professionals
by #Reuters - Mar 18, 2020

The complainers complain because they are losing money

1:07

ViD https://t.co/3Bhj0BE2Un

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-vids-126 by #BorderObserver https://t.co/l4jrXSHuqX",coronavirus Reuters WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 20:01:59 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1274070675825790977,"Spanish singer livens up #coronavirus lockdown with a balcony concert
by #Reuters - Mar 20, 2020

1:05

ViD https://t.co/0mZJ45NuUq

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-vids-133 by #BorderObserver https://t.co/Zs686aNWMO",coronavirus Reuters WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 20:04:54 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1274072168838676482,"RT @SatbirSidhu62: If you love your soldiers then you have to boycott China, slowly slowly start this @mks_bjp #BoycottChina #BoycottChines…",BoycottChina,en,Fri Jun 19 20:10:50 +0000 2020,1226588381544689666,Sarif Khan Mehar,,,,"Riyadh, Kingdom of Saudi Arabi"
1274072675703500800,@GovMurphy LOOK: stop adding covid 19 otherwise known as #wuhanflu to death certificates so you can tweet daily about positive cases. We've had enough. You're done KNUCKLEHEAD,wuhanflu,en,Fri Jun 19 20:12:51 +0000 2020,2796688187,mrsjax🇺🇸,,,,"New Jersey, USA"
1274074288325189632,"मैं chinese प्रोडक्ट इस्तेमाल करना बंद कर दूँगा अगर 
दलाल मीडिया पहले OPPO VIVO जैसे विज्ञापन बंद करे 
है औक़ात दलाल मीडिया ?
#China is poison for the whole world
#Chinavirus #Covid19
#StopImport For China
#China Not Country he is a #Virus 
#bycottchina products",China Chinavirus Covid19 StopImport China Virus bycottchina,und,Fri Jun 19 20:19:16 +0000 2020,1210697196519206914,MD sohrab,,,,Jeddah
1274074576461258753,@ChrisCuomo You and your Brother are #CCPVirus spreaders (Nursing Homes) and in your case a #CCPVirus Hoaxer trying anything to scare viewers into thinking a 2nd and 3rd wave are going to kill them. Stay home and pump the #BallotHarvesting up. Low life scumbags.,CCPVirus CCPVirus BallotHarvesting,en,Fri Jun 19 20:20:24 +0000 2020,1187158418965970944,Straight White Man,,,,Vancouver 
1274075699805138947,"CNN, MSNBC Cut Away From Donald Trump #Coronavirus Briefing
https://t.co/APm8dQiiHu
1 Apr 2020

.. particularly as (he talked) about progress of the construction of a wall along the southern border ..

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-248 by #BorderObserver",Coronavirus WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 20:24:52 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1274076170418401280,@globaltimesnews #ChineseVirus #ChinaLiedAndPeopleDied #WuhanVirus https://t.co/Oey3hDIh9A,ChineseVirus ChinaLiedAndPeopleDied WuhanVirus,und,Fri Jun 19 20:26:44 +0000 2020,46467882,raj_up 🚩,,,,India
1274076909379317762,"@ChrisCuomo You and your brother are #CCPVirus spreaders (To nursing homes) in his case, leaving your “quarantine “ in your case multiple times. (Got your whole fam sick) also you are a #CCPVirus HOAXER. You go on #FakeNewsCNN, 2nd wave 3rd wave is gonna kill you! Stay home #BallotHarvesting",CCPVirus CCPVirus FakeNewsCNN BallotHarvesting,en,Fri Jun 19 20:29:41 +0000 2020,1187158418965970944,Straight White Man,,,,Vancouver 
1274078216576282624,"Chinese researchers isolated deadly bat #coronaviruses near Wuhan animal market
https://t.co/ZXAxX450hk
30 Mar 2020

#QUOTE Several Chinese state media outlets in recent months touted the virus research ..

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-269 by #BorderObserver",coronaviruses QUOTE WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 20:34:52 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1274080741048102912,"#Lango #Uganda

Lango residents bang saucepans, jerrycans to scare away #coronavirus
https://t.co/B4T7jBmHK4
4 Apr 2020

#QUOTE .. locals banged (..) in a desperate attempt to scare away coronavirus.

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-289 by #BorderObserver https://t.co/T0P6zkvAN4",Lango Uganda coronavirus QUOTE WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 20:44:54 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1274115228943482884,"U.S. layoffs surge amid #coronavirus shut down
by #Reuters - Mar 19, 2020

1:46

ViD https://t.co/Hd0dCEcfHT

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-vids-129 by #BorderObserver https://t.co/HmcL3xN4Yw",coronavirus Reuters WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 23:01:57 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1274115521391128576,"可笑! 
#CCP_is_terrorist https://t.co/jHEvheaRgo",CCP_is_terrorist,ja,Fri Jun 19 23:03:06 +0000 2020,1079065919375126528,日久見人心,,,,台灣
1274116120920940544,"RT @savitha_rao: @globaltimesnews Let's see

#China wilfully suppressed info on #covid.  Putting the world at risk .
#ChinaLiedPeopleDied…",China covid ChinaLiedPeopleDied,en,Fri Jun 19 23:05:29 +0000 2020,1125559282550935559,🕉🇨🇦🇮🇳Shalini Asha B. (जानकी)🇺🇸🇯🇵🇮🇱🕉,,,,"Ontario, Canada. born in India"
1274121142085746688,"Deflection tactics by China after corona debacle
Hongkong, India , cyber attacks. World needs to unite against China and let them know their  bullying won’t work #ChinaLiedPeopleDied #CyberAttack #ChinaIndiaStandOff 
#hinducheenibyebye",ChinaLiedPeopleDied CyberAttack ChinaIndiaStandOff hinducheenibyebye,en,Fri Jun 19 23:25:26 +0000 2020,3383487543,Avi Wag,,,,edinburgh
1274121382541045761,"Washington State DOH corrects inaccuracies in death count, test result data 

#CCPVirus #COVID19 
https://t.co/jP3wuK8zlp",CCPVirus COVID19,en,Fri Jun 19 23:26:24 +0000 2020,33949018,🇺🇸 SFla Patriot,,,,"Florida, USA"
1274123521669529600,@yuhuizyh @zhang_heqing #ChineseVirus #ChinaLiedPeopleDied,ChineseVirus ChinaLiedPeopleDied,und,Fri Jun 19 23:34:54 +0000 2020,896067781174599680,SUMIT KHETAN,,,,"Namrup, India"
1274124521759322112,.#FuckChina for giving us Covid-19,FuckChina,en,Fri Jun 19 23:38:52 +0000 2020,1182074385504464896,Jay Luciano Zuccolin | Blueshocker ❄️🗲,,,,Confidential
1274127916864016385,"This is how fake it is...
Change from within just don't follow the trend like that, stop behaving like a sheep
#BoycottChina #trend #fake #people #covid19

https://t.co/qut85Uk4zN",BoycottChina trend fake people covid19,en,Fri Jun 19 23:52:22 +0000 2020,2877794488,Soubhagya Ranjan,,,,"New Delhi, India"
1274128584551129089,"Time to rock out during the pandemic. Subscribe like on YouTube
https://t.co/RfOYSwoyAX #rock #guitarist #Beatles #JohnLennon #rock #guitarist #singer #drums #coronavirus #coronavirususa #CoronaVirusUpdates #MemorialDay #VIRUS_CORONA #coronavirus #pandemic #rock #rocknroll #Dance",rock guitarist Beatles JohnLennon rock guitarist singer drums coronavirus coronavirususa CoronaVirusUpdates MemorialDay VIRUS_CORONA coronavirus pandemic rock rocknroll Dance,en,Fri Jun 19 23:55:01 +0000 2020,1239199214,Pamela Davis,,,,"Jupiter, FL"
1274128821873258496,"I can understand the legacy media doing Fear Porn 2.0 in the United States as part of their ongoing campaign against #Trump.

But why do the same thing in #Italy, despite the #CCPVirus cases tallies showing NO spike or surge?

https://t.co/oed0Votg83

#news #pandemic",Trump Italy CCPVirus news pandemic,en,Fri Jun 19 23:55:57 +0000 2020,2894982337,Peter Nayland Kust,,,,"Cypress, Texas"
1274129107740012544,"@globaltimesnews #Chinesevirus, first of all how are you using twitter while twitter is ban by Chinese dictatorship country.",Chinesevirus,en,Fri Jun 19 23:57:06 +0000 2020,1102138074652274688,CvprasadPintu Vश्वकर्मा,,,,Universe
1274129727112933377,"@XHNews #Chinesevirus, first of all how are you using twitter while twitter is ban by Chinese dictatorship country.",Chinesevirus,en,Fri Jun 19 23:59:33 +0000 2020,1102138074652274688,CvprasadPintu Vश्वकर्मा,,,,Universe
1273873142209904641,"@HuXijin_GT Good job @harbhajan_singh  ji
#BoycottChineseProducts 
#BoycottChina 
Chinese Corona virus",BoycottChineseProducts BoycottChina,en,Fri Jun 19 06:59:59 +0000 2020,1010810286364737539,Aman,,,,INDIA
1273873323009568768,RT @rkvyas: #BoycottChina #coronavirus China is accountable for CORONA Disaster and all countries should b United to take immediate action…,BoycottChina coronavirus,en,Fri Jun 19 07:00:42 +0000 2020,918050317685506048,Hariram,,,,"Jaipur, India"
